Roi,Source_Name,Cell_ID,Centroids_RAW_X,Centroids_RAW_Y,Centroids_RAW_Z,Centroids_TFOR_X,Centroids_TFOR_Y,Centroids_TFOR_Z,Longest_Extension,Major_Axis_Length,Major\Medium_Axis_Eccentricity,Major\Minor_Axis_Eccentricity,Medium_Axis_Length,Medium\Minor_Axis_Eccentricity,Minor_Axis_Length,Orientation_along_X,Orientation_along_Y,Orientation_along_Z,Roundness_(Smoothness),Sphericity,Surface_Area,Volume,X_Axis_Length,Y_Axis_Length,Y\X_Aspect_Ratio,Z_Axis_Length,Z\X_Aspect_Ratio,Z\Y_Aspect_Ratio,Roi Name
1441933,15999C80F3,11,122.81723248478028,52.1932954129915,8.084102188021138,-35.39287513359013,-0.32182250103323273,-7.03755383579135,6.653844761233426,10.724479260504069,0.3788676220970417,0.6962714492901575,9.924978732288018,0.6312262206076398,7.697801337935727,-0.7089482405401987,0.21468316701097487,0.6717912845795891,0.8674269727639294,0.8521520690003961,330.03354792934084,349.52680169999985,11.22456066849165,9.64698334061324,0.8594530891256341,10.317142019306194,0.9191577580641836,1.0694682114637462,
1441934,15999C80F3,12,74.21572526572385,35.5046591333011,7.7945922607005045,-86.56769057481894,-4.823548064302597,-5.783108800331418,7.351422557937446,11.378520108784945,0.6606093293848009,0.7898040388816441,8.542194741844972,0.5766131932803235,6.979120658408037,-0.13606299710294464,0.8628766261133064,0.4867553686675488,0.8408581440994198,0.8268157892193282,263.8741763664835,237.19637429999997,10.212166061570343,10.509043842430193,1.0290709903334845,7.449586977161609,0.7294815744521953,0.7088739079271849,
1441935,15999C80F3,13,76.87426806099262,38.91572761367681,8.308377590407622,-83.17457152444541,-2.3167421129168053,-6.8647188821999325,9.268334463229142,16.125431047189988,0.7577178620712023,0.927751062457854,10.523170674009414,0.8203363533222193,6.018004949577218,-0.6769437490374609,0.6469225542266006,0.35105322883009976,0.7854474858938879,0.7269863674267544,331.54351947642044,256.5322082999999,12.26316620468866,12.040773479641066,0.9818649832077976,8.44551979055839,0.6886899883432516,0.7014100717730761,
1441936,15999C80F3,14,75.25945864011564,42.26943332297592,8.257558665784035,-83.92428287637033,0.5869434665072357,-9.07018412973348,6.905980232381588,11.654703354967639,0.6598476754630458,0.9218653098600188,8.757337006239467,0.8567581843464539,4.516319366023691,-0.7117411324669783,0.43738342763433596,0.5496547075987458,0.8548715628530357,0.7876390750064766,227.1668959920464,173.27575889999997,9.696704394904742,8.095514988413107,0.834872824695677,8.606238590831067,0.8875426372029372,1.0630872283170305,
1441937,15999C80F3,15,98.23138705207941,41.08157652995728,8.405789048493839,-61.94138070195726,-4.4254232489604135,-4.5126998597305095,7.516541999389683,12.927782960314303,0.5460317350023286,0.7344991132716353,10.830437526859217,0.5863962278438831,8.772918227397778,-0.5503472334820096,0.6750290510853095,0.491379387835474,0.9126469297535929,0.9059634175641688,403.61725190436715,528.8210144999998,10.306482309363282,10.307221974570707,1.0000717669894756,11.989936142100312,1.163339322011705,1.1632558386421756,
1441938,15999C80F3,16,130.38521893015871,53.049975708140714,8.350639646955932,-27.85324901562337,-0.8621145252059712,-6.067252484441023,6.310849473389577,10.072378546041056,0.26764540055832103,0.7789625995811786,10.453757950836463,0.7592374579929134,6.555242028843329,-0.6681969796744502,0.5985469290380849,0.44187596686516,0.8580418028432677,0.8347701234742091,271.62696929304957,262.3072086,10.46374249626836,8.916184240668294,0.8521027962842201,8.10902141242257,0.7749637775694934,0.9094721680868691,
1441939,15999C80F3,17,83.29480820655232,37.374751409453815,13.42919379840322,-77.45811936853497,-1.677364889385299,-0.8038547875339379,10.481247977188856,18.209852520925168,0.4664616261683479,0.8653520048194849,16.107369091119736,0.824005909733728,9.126132572887759,-0.9383040282935458,0.3455835999482251,-0.012550933627815524,0.8279353670927363,0.7927248970881317,598.5453451489714,782.2632347999999,16.378087900446644,14.020819496171665,0.8560718187249017,14.705673946293226,0.897887105972376,1.0488455364758498,
1441940,15999C80F3,18,69.2786594643366,36.9491286446956,8.491767974166587,-91.02250520480342,-2.380396826662966,-6.847441227028393,8.039945008427559,13.330199190442741,0.7299017073989522,0.8280757246629044,9.111885885248322,0.5721464787622088,7.473126453811583,0.12225145991445475,0.5984432569796635,0.7917829555657011,0.8208699184127535,0.7785091815497199,316.6939352661797,295.76803319999993,9.004162393729104,12.111730760179563,1.3451257574624271,10.396331644790862,1.15461396520695,0.8583687873058972,
1441941,15999C80F3,19,70.62010426573673,44.31283271689739,9.599566733593996,-87.96190359803843,3.8276347954599905,-9.904219120978569,7.6066017623530175,13.006725586988725,0.7309279848367354,0.9035024798641582,8.876499707028664,0.7782117155494725,5.574459666382842,0.8748006505247629,-0.4051122586418455,-0.26572143259352266,0.8279369748497398,0.7703924000729878,254.99830893140927,199.3674303,12.020376369045765,8.886091722893378,0.7392523703148239,8.982779168036268,0.7472959990810477,1.010880761549399,
1441942,15999C80F3,20,87.90172476325243,45.928479394796994,9.37769484053554,-70.80589447979712,1.8363988967264468,-8.166324108238102,7.564939648911693,13.469545247926161,0.8574888700563473,0.8829572005082132,6.930114903191397,0.4092069692672893,6.323325065485013,-0.6987063593646966,0.10125598004412044,0.7082066434937166,0.8407570040260012,0.7540184243903958,252.06307057148888,215.058483,9.293043992810297,8.640354319622297,0.9297657824827944,10.152649296690461,1.0924998638277412,1.175026963145913,
